,Location,Title,Price,Company,Summary
9,London,Data Scientist - NLP,"
£65,000 - £70,000 a year","
Harnham","
As a Data Scientist you will be: Helping the business define Data Science strategy and working on new ways to make the most of data. £75,000 + Bonus + Benefits."
10,Yorkshire,Graduate Data Scientist,"
£24,000 - £26,000 a year","
kdr Recruitment","
What you’ll be doing as a Data Scientist: If so, this is the perfect opportunity for you to progress as a Data Scientist."
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
 We are looking to add a data scientist with experience in data analysis and statistical modelling to the team.Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
 We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
 We are seeking to expand our talented and dynamic team of data scientists.We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
 Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team.AWS, Azure or GCP experience."
7,London,Senior Data Scientist - Experimentation,"
£70,000 - £80,000 a year","
Harnham","
 The successful Senior Data Scientist will have industrial experience working with big data to solve business problems to scale."
10,London,Machine Learning Data Engineer,"
£450 - £550 a day","
Harnham","
 Machine Learning Data Engineer - Product Innovation.Understand data flows with wider digital experience.Building and productionising machine learning products…"
12,London,Senior Data Scientist - AI/ML Healthcare Analytics - London,"
£60,000 - £75,000 a year","
Lawrence Harvey","
 Proven successful experience in a similar role as a Data Scientist.This will see the successful Data Scientist gathering requirements, shaping & modelling data…"
15,Leeds,Research Assistant,"
£25,941 - £30,046 a year","

Leeds Beckett University","
 You will also be familiar with handling large data sets and undertaking statistical analysis.You will support research leaders in undertaking building…"
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
 Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
We are looking to add a data scientist with experience in data analysis and statistical modelling to the team. Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
This is an exciting role for a smart, creative person to take point on research and development of sophisticated, cutting-edge platform for machine learning on…"
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
We are seeking to expand our talented and dynamic team of data scientists. We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team. E.g. regression, k-means, etc."
7,London,Senior Data Scientist - modelling,"
£70,000 - £80,000 a year","
Harnham","
A well-known global retailer is drastically building out their data science function, they're investing heavily into being the leaders in data and analytics…"
8,Falmer,Admin Assistant,"
£20,354 - £23,500 a year","

Southern Water","
Analysing and interpreting financial statistics and other data and produce relevant audit reports for internal and external customers; Working for us, you will:"
9,London,Data Scientist - NLP,"
£65,000 - £70,000 a year","
Harnham","
Making sense of complex unstructured data sets. Helping the business define Data Science strategy and working on new ways to make the most of data."
10,Yorkshire,Graduate Data Scientist,"
£24,000 - £26,000 a year","
kdr Recruitment","
£24,000 - £26,000 per annum. Are you just finishing or have recently finished University studying a STEM related degree and are considering your first…"
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
We are looking to add a data scientist with experience in data analysis and statistical modelling to the team. Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
We are seeking to expand our talented and dynamic team of data scientists. We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team. AWS, Azure or GCP experience."
7,London,Senior Data Scientist - modelling,"
£70,000 - £80,000 a year","
Harnham","
The successful Senior Data Scientist will have extensive knowledge and commercial use of SQL and Python/R. A well-known global retailer is drastically building…"
8,Falmer,Admin Assistant,"
£20,354 - £23,500 a year","

Southern Water","
Analysing and interpreting financial statistics and other data and produce relevant audit reports for internal and external customers; Working for us, you will:"
9,London,Data Scientist - NLP,"
£65,000 - £70,000 a year","
Harnham","
As a Data Scientist you will be: Helping the business define Data Science strategy and working on new ways to make the most of data. £75,000 + Bonus + Benefits."
10,Yorkshire,Graduate Data Scientist,"
£24,000 - £26,000 a year","
kdr Recruitment","
What you’ll be doing as a Data Scientist: Working with the other Data Scientist’s to develop models that are beneficial to improving the state of infrastructure…"
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
As a Data Scientist you will be responsible for developing and implementing Machine Learning and Artificial capabilities."
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
We are looking to add a data scientist with experience in data analysis and statistical modelling to the team. Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
We are seeking to expand our talented and dynamic team of data scientists. We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team. AWS, Azure or GCP experience."
8,London,Lead Data Scientist - Executing Strategy,"
£110,000 - £120,000 a year","
Harnham","
Lead Data Scientist - Executing Strategy. As a Lead Data Scientist, you will be analysing large data sets to make predictions on trading strategies."
13,London,Junior Quantitative Analyst,"
£40,000 - £55,000 a year","
Bettor Believe","
The research team manage and model sports betting data, analysing large volumes of structured data in order to extract knowledge and derive trading algorithms."
